Data,Dia da Semana,Feriado
1/1/2017,domingo,Confraternização Universal
2/27/2017,segunda-feira,Carnaval
2/28/2017,terça-feira,Carnaval
4/14/2017,sexta-feira,Paixão de Cristo
4/21/2017,sexta-feira,Tiradentes
5/1/2017,segunda-feira,Dia do Trabalho
6/15/2017,quinta-feira,Corpus Christi
9/7/2017,quinta-feira,Independência do Brasil
10/12/2017,quinta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2017,quinta-feira,Finados
11/15/2017,quarta-feira,Proclamação da República
12/25/2017,segunda-feira,Natal
1/1/2018,segunda-feira,Confraternização Universal
2/12/2018,segunda-feira,Carnaval
2/13/2018,terça-feira,Carnaval
3/30/2018,sexta-feira,Paixão de Cristo
4/21/2018,sábado,Tiradentes
5/1/2018,terça-feira,Dia do Trabalho
5/31/2018,quinta-feira,Corpus Christi
9/7/2018,sexta-feira,Independência do Brasil
10/12/2018,sexta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2018,sexta-feira,Finados
11/15/2018,quinta-feira,Proclamação da República
12/25/2018,terça-feira,Natal
1/1/2019,terça-feira,Confraternização Universal
3/4/2019,segunda-feira,Carnaval
3/5/2019,terça-feira,Carnaval
4/19/2019,sexta-feira,Paixão de Cristo
4/21/2019,domingo,Tiradentes
5/1/2019,quarta-feira,Dia do Trabalho
6/20/2019,quinta-feira,Corpus Christi
9/7/2019,sábado,Independência do Brasil
10/12/2019,sábado,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2019,sábado,Finados
11/15/2019,sexta-feira,Proclamação da República
12/25/2019,quarta-feira,Natal
1/1/2020,quarta-feira,Confraternização Universal
2/24/2020,segunda-feira,Carnaval
2/25/2020,terça-feira,Carnaval
4/10/2020,sexta-feira,Paixão de Cristo
4/21/2020,terça-feira,Tiradentes
5/1/2020,sexta-feira,Dia do Trabalho
6/11/2020,quinta-feira,Corpus Christi
9/7/2020,segunda-feira,Independência do Brasil
10/12/2020,segunda-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2020,segunda-feira,Finados
11/15/2020,domingo,Proclamação da República
12/25/2020,sexta-feira,Natal
1/1/2021,sexta-feira,Confraternização Universal
2/15/2021,segunda-feira,Carnaval
2/16/2021,terça-feira,Carnaval
4/2/2021,sexta-feira,Paixão de Cristo
4/21/2021,quarta-feira,Tiradentes
5/1/2021,sábado,Dia do Trabalho
6/3/2021,quinta-feira,Corpus Christi
9/7/2021,terça-feira,Independência do Brasil
10/12/2021,terça-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2021,terça-feira,Finados
11/15/2021,segunda-feira,Proclamação da República
12/25/2021,sábado,Natal
1/1/2022,sábado,Confraternização Universal
2/28/2022,segunda-feira,Carnaval
3/1/2022,terça-feira,Carnaval
4/15/2022,sexta-feira,Paixão de Cristo
4/21/2022,quinta-feira,Tiradentes
5/1/2022,domingo,Dia do Trabalho
6/16/2022,quinta-feira,Corpus Christi
9/7/2022,quarta-feira,Independência do Brasil
10/12/2022,quarta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2022,quarta-feira,Finados
11/15/2022,terça-feira,Proclamação da República
12/25/2022,domingo,Natal
1/1/2023,domingo,Confraternização Universal
2/20/2023,segunda-feira,Carnaval
2/21/2023,terça-feira,Carnaval
4/7/2023,sexta-feira,Paixão de Cristo
4/21/2023,sexta-feira,Tiradentes
5/1/2023,segunda-feira,Dia do Trabalho
6/8/2023,quinta-feira,Corpus Christi
9/7/2023,quinta-feira,Independência do Brasil
10/12/2023,quinta-feira,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2023,quinta-feira,Finados
11/15/2023,quarta-feira,Proclamação da República
12/25/2023,segunda-feira,Natal
1/1/2024,segunda-feira,Confraternização Universal
2/12/2024,segunda-feira,Carnaval
2/13/2024,terça-feira,Carnaval
3/29/2024,sexta-feira,Paixão de Cristo
4/21/2024,domingo,Tiradentes
5/1/2024,quarta-feira,Dia do Trabalho
5/30/2024,quinta-feira,Corpus Christi
9/7/2024,sábado,Independência do Brasil
10/12/2024,sábado,Nossa Sr.a Aparecida - Padroeira do Brasil
11/2/2024,sábado,Finados
